type,name,label::English,hint::English,required,read_only,relevant,appearance,constraint,constraint_message,constraint_message::Arabic,choice_filter,default,calculation,repeat_count
start,start,start,,,,,,,,,,,,
end,end,end,,,,,,,,,,,,
today,today,today,,,,,,,,,,,,
deviceid,deviceid,deviceid,,,,,,,,,,,,
begin group,SecAMetadata,A. Metadata,,yes,,,,,,,,,,
select_one a1_list,A1_Metadata,A.1: Household displacement status,,yes,,,minimal,,,,,,,
select_one governorate,A2_Metadata,A.2: Select Governorate,,yes,,,"search('locationset','matches','countryid',1)",,,,,,,
select_one district,A3_Metadata,A.2: Select District,,yes,,,"search('locationset', 'matches', 'governorate_key', ${A2_Metadata})",,,,,,,
select_one subdistrict,A4_Metadata,A.2: Select Sub-Area,,yes,,,"search('locationset', 'matches', 'district_key', ${A3_Metadata})",,,,,,,
select_one place,A5_Metadata,A.2: Select Location,,yes,,,"search('locationset', 'matches', 'subdistrict_key', ${A4_Metadata})",,,,,,,
text,A6_Metadata,A.4: Enumerator's code,,yes,,,,,,,,,,
date,A7_Metadata,A.5: Date of survey,dd-mmm-yyyy,yes,,,,(. >= ('2019-06-01')and . <=('2019-12-31')),Date of survey must be equal to or greater than 1-6-2019,??? ?? ???? ????? ????????? ???? ???? ?? 1-?????-2-10,,,,
time,A8a_Metadata,A.6a: Time of survey (Start),,yes,,,,,,,,,,
time,A8b_Metadata,A.6b: Time of survey (Finish),,yes,,,,,,,,,,
select_one a7_list,A9_Metadata,A.7: How was the data collected?,,yes,,,minimal,,,,,,,
end group,,,,,,,,,,,,,,
begin group,SecBDemographics,B. Demographics,,yes,,,,,,,,,,
select_one yesno,B1_Demographics,B.1: Are you the head of the household?,(select one),yes,,,minimal,,,,,,,
select_one b2_list,B2_Demographics,B.2: What is your nationality?,(select all applicable),yes,,,minimal,,,,populationFilter=${A1_Metadata},,,
text,B2o_Demographics,B.2.1: What is other nationality?,,yes,,"selected(${B2_Demographics}, 'b2_other')",,,,,,,,
integer,B3y_Demographics,B.3: Which year were you born?,(YYYY),yes,,,,(. >= 1900 and . <= 2001),Year should be between 1900 and 2001,??? ?? ???? ????? ??? 1900 ? 2001,,2001,,
integer,B3m_Demographics,B.3: Which month were you born?,(MM),yes,,,,(. >= 1 and . <= 12),Month should be from 1 to 12,??? ?? ???? ????? ?? 1 ??? 12,,1,,
integer,B3_Age,B.3: How old are you?,,yes,,,,(. >= 18 and .<120),,,,,,
note,B3c_Demographics_AgeCal,Calculate Age,,,,,minimal,,,,,0,2019-${B3y_Demographics},
select_one b4_list,B4_Demographics,B.4: What is your marital status?,(select one),yes,,,minimal,,,,,,,
integer,B5_Demographics,B.5: How many members are there in your household (including you)?,,yes,,,,.>=1,,,,1,,
select_one yesno,B6_Demographics,"B.6: Is your household hosting others (relatives and friends) not part of the immediate family, i.e. not blood relatives?",(select one),yes,,,minimal,,,,,,,
end group,,,,,,,,,,,,,,
note,B7_RecordHHMembers,"B.7.1: For each individual in your household including you, please record the following information:",,,,,,,,,,,,
begin repeat,B7HHMembers,B.7.1. Record Household Memebers,,,,,,,,,,,,${B5_Demographics}
begin group,B7HHMembersInfo,Member Information 1,,yes,,,field-list,,,,,,,
text,B711_Name,Name/nickname,,yes,,,,,,,,,,
select_one gender,B712_Gender,Gender,(select one),yes,,,minimal,,,,,,,
integer,B713_YearBorn,Year of birth,(YYYY) .. Input 9999 in case no answer,yes,,,,(. >= 1900  and . <= 2001),Year should be between 1900 and 2001,,,2001,,
integer,B714_MonthBorn,Month of birth,(MM) .. Input 9999 in case no answer,yes,,,,(. >= 1 and . <= 12),Month should be from 1 to 12,,,1,,
integer,B715_Age,Age (if year unknown),(enter number),,,,,(. >= 18 and .<120),,,,0,,
note,B716_AgeCalc,Calculate Age,,,,,,,,,,0,2019-${B713_YearBorn},
select_one b71_rel_list,B717_Relationship,Relationship to the head of household,(select one),yes,,,minimal,,,,,,,
text,B718_Relationship_other,B.71: Other?,,yes,,"selected(${B717_Relationship}, 'b71_rel_11')",,,,,,,,
select_one b71_mar_list,B719_MaritalStatus,Marital status,(select one),yes,,,minimal,,,,,,,
end group,,,,,,,,,,,,,,
begin group,B7HHMemberPrag,Member Information 2,,yes,,,field-list,,,,,,,
select_one yesno,B720_Pregnent,Pregnant and/or lactating,(select one),yes,,"selected(${B712_Gender}, 'female') and (${B716_AgeCalc} >= 12 and ${B716_AgeCalc} <=59)",minimal,,,,,,,
select_one b71_enr_list,B721_SchoolEnrolment,School enrolment in 2018-2019,(select one),yes,,${B716_AgeCalc} >= 6 and ${B716_AgeCalc} <=18,minimal,,,,,,,
select_one b71_edu_list,B722_HighestEducation,Highest level of education,(select one),yes,,,minimal,,,,,,,
select_one b71_inc_list,B723_CurrentIncome,Currently earning income,(select one),yes,,,minimal,,,,,,,
select_one b71_emp_list,B724_SectorEmployment,Sector of employment ,(select one),yes,,"selected(${B723_CurrentIncome}, 'b71_inc_1') or selected(${B723_CurrentIncome}, 'b71_inc_1')",minimal,,,,,,,
select_one yesno,B725_NonCommunicableDisease,Non-communicable disease,,yes,,,minimal,,,,,,,
select_one yesno,B726_PsychologicalAddress,"Symptoms of psychological distress (nightmares, flashbacks, etc.)",,yes,,,minimal,,,,,,,
note,B72_DifficultyNote,"B.7.2: For each member of the household, ask about difficulties they may have faced  because of the following:",,,,,,,,,,,,
select_one b72_dif_list,B72_Vision,"VISION ? does any members of your household have difficulty seeing, even when wearing glasses?",(select one),yes,,,minimal,,,,,,,
select_one b72_dif_list,B72_Hearing,"HEARING ? does any members of your household have difficulty hearing, even when using a hearing aid?",(select one),yes,,,minimal,,,,,,,
select_one b72_dif_list,B72_Mobility,MOBILITY ? does any members of your household have difficulty walking or climbing steps?,(select one),yes,,,minimal,,,,,,,
select_one b72_dif_list,B72_Communication,"COMMUNICATION ? Using your usual language (mother tongue) does any members of your household have difficulty communicating, understanding or being understood?",(select one),yes,,,minimal,,,,,,,
select_one b72_dif_list,B72_Cognition,COGNITION ? Do you have difficulty remembering or concentrating?,(select one),yes,,,minimal,,,,,,,
